Unit#,LOB,Order#,Rec Req Date,stop_no,Actual Fuel Date,Next Fuel Date,Purchase Type,Actual Fuel Type,Rec Stop (P or A),Rec Stop Chain,Rec Gallons,Rec Stop PPG,Location Compliant,Gallon Over/Under ,Actual Stop,Actual Gallons,Actual PPG,PPG on Req Date,Next Actual Stop,Next PPG on Req Date,Dispatch has Re-opt,Measure Names,Actual Fuel Chain,Next Fuel Chain,Measure Values
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Total Noncompliant Cost,PILOT,TAPET,34.249041
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Location Noncompliant Cost,PILOT,TAPET,0
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Gallon Over/Under Cost,PILOT,TAPET,34.249041
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Gallon Over/Under,PILOT,TAPET,53.19
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Fuel Rec Count,PILOT,TAPET,1
220713,Line Haul,ARJ3997-01,7/18/2026,1,7/18/2026,7/19/2026,Fill,Did not follow,FP129,Terminal,78.8,,N,Under,WA262,56.1,,,WA262,,Y,Total Noncompliant Cost,PILOT,PILOT,-6.571860980
220713,Line Haul,ARJ3997-01,7/18/2026,1,7/18/2026,7/19/2026,Fill,Did not follow,FP129,Terminal,78.8,,N,Under,WA262,56.1,,,WA262,,Y,Location Noncompliant Cost,PILOT,PILOT,-4.487775460
220713,Line Haul,ARJ3997-01,7/18/2026,1,7/18/2026,7/19/2026,Fill,Did not follow,FP129,Terminal,78.8,,N,Under,WA262,56.1,,,WA262,,Y,Gallon Over/Under Cost,PILOT,PILOT,-2.084085520
220713,Line Haul,ARJ3997-01,7/18/2026,1,7/18/2026,7/19/2026,Fill,Did not follow,FP129,Terminal,78.8,,N,Under,WA262,56.1,,,WA262,,Y,Gallon Over/Under,PILOT,PILOT,22.66
220713,Line Haul,ARJ3997-01,7/18/2026,1,7/18/2026,7/19/2026,Fill,Did not follow,FP129,Terminal,78.8,,N,Under,WA262,56.1,,,WA262,,Y,Fuel Rec Count,PILOT,PILOT,1
220713,Line Haul,ARJ4427-01,7/16/2026,1,7/16/2026,7/18/2026,Fill,Primary,OR182,LOVES,136.3,,Y,Under,OR182,105.9,,,WA262,,N,Total Noncompliant Cost,LOVES,PILOT,10.59224565
220713,Line Haul,ARJ4427-01,7/16/2026,1,7/16/2026,7/18/2026,Fill,Primary,OR182,LOVES,136.3,,Y,Under,OR182,105.9,,,WA262,,N,Location Noncompliant Cost,LOVES,PILOT,0
220713,Line Haul,ARJ4427-01,7/16/2026,1,7/16/2026,7/18/2026,Fill,Primary,OR182,LOVES,136.3,,Y,Under,OR182,105.9,,,WA262,,N,Gallon Over/Under Cost,LOVES,PILOT,10.59224565
220713,Line Haul,ARJ4427-01,7/16/2026,1,7/16/2026,7/18/2026,Fill,Primary,OR182,LOVES,136.3,,Y,Under,OR182,105.9,,,WA262,,N,Gallon Over/Under,LOVES,PILOT,30.45
220713,Line Haul,ARJ4427-01,7/16/2026,1,7/16/2026,7/18/2026,Fill,Primary,OR182,LOVES,136.3,,Y,Under,OR182,105.9,,,WA262,,N,Fuel Rec Count,LOVES,PILOT,1
220713,Line Haul,ARM2585-01,7/21/2026,1,7/21/2026,7/30/2026,Fill,Did not follow,FP129,Terminal,70.7,,N,Allowable,WA202,74.1,,,WA508,,Y,Total Noncompliant Cost,LOVES,LOVES,0
220713,Line Haul,ARM2585-01,7/21/2026,1,7/21/2026,7/30/2026,Fill,Did not follow,FP129,Terminal,70.7,,N,Allowable,WA202,74.1,,,WA508,,Y,Location Noncompliant Cost,LOVES,LOVES,0
220713,Line Haul,ARM2585-01,7/21/2026,1,7/21/2026,7/30/2026,Fill,Did not follow,FP129,Terminal,70.7,,N,Allowable,WA202,74.1,,,WA508,,Y,Gallon Over/Under Cost,LOVES,LOVES,0
220713,Line Haul,ARM2585-01,7/21/2026,1,7/21/2026,7/30/2026,Fill,Did not follow,FP129,Terminal,70.7,,N,Allowable,WA202,74.1,,,WA508,,Y,Gallon Over/Under,LOVES,LOVES,0
220713,Line Haul,ARM2585-01,7/21/2026,1,7/21/2026,7/30/2026,Fill,Did not follow,FP129,Terminal,70.7,,N,Allowable,WA202,74.1,,,WA508,,Y,Fuel Rec Count,LOVES,LOVES,1
220713,Line Haul,ARW0702-02,7/30/2026,1,7/30/2026,,Fill,Primary,WA508,LOVES,144.6,,Y,Under,WA508,107.5,,,N/A,,N,Total Noncompliant Cost,LOVES,,0
220713,Line Haul,ARW0702-02,7/30/2026,1,7/30/2026,,Fill,Primary,WA508,LOVES,144.6,,Y,Under,WA508,107.5,,,N/A,,N,Location Noncompliant Cost,LOVES,,0
220713,Line Haul,ARW0702-02,7/30/2026,1,7/30/2026,,Fill,Primary,WA508,LOVES,144.6,,Y,Under,WA508,107.5,,,N/A,,N,Gallon Over/Under Cost,LOVES,,0
220713,Line Haul,ARW0702-02,7/30/2026,1,7/30/2026,,Fill,Primary,WA508,LOVES,144.6,,Y,Under,WA508,107.5,,,N/A,,N,Gallon Over/Under,LOVES,,37.11
220713,Line Haul,ARW0702-02,7/30/2026,1,7/30/2026,,Fill,Primary,WA508,LOVES,144.6,,Y,Under,WA508,107.5,,,N/A,,N,Fuel Rec Count,LOVES,,1
220713,Line Haul,DHAHNO1-01,6/7/2026,1,6/7/2026,6/8/2026,Fill,Did not follow,WA262,PILOT,110,,N,Under,WA202,63.0,,,WA508,,N,Total Noncompliant Cost,LOVES,LOVES,5.275375000
220713,Line Haul,DHAHNO1-01,6/7/2026,1,6/7/2026,6/8/2026,Fill,Did not follow,WA262,PILOT,110,,N,Under,WA202,63.0,,,WA508,,N,Location Noncompliant Cost,LOVES,LOVES,3.408300000
220713,Line Haul,DHAHNO1-01,6/7/2026,1,6/7/2026,6/8/2026,Fill,Did not follow,WA262,PILOT,110,,N,Under,WA202,63.0,,,WA508,,N,Gallon Over/Under Cost,LOVES,LOVES,1.867075000
220713,Line Haul,DHAHNO1-01,6/7/2026,1,6/7/2026,6/8/2026,Fill,Did not follow,WA262,PILOT,110,,N,Under,WA202,63.0,,,WA508,,N,Gallon Over/Under,LOVES,LOVES,47
220713,Line Haul,DHAHNO1-01,6/7/2026,1,6/7/2026,6/8/2026,Fill,Did not follow,WA262,PILOT,110,,N,Under,WA202,63.0,,,WA508,,N,Fuel Rec Count,LOVES,LOVES,1
220713,Line Haul,DHAHTE8-01,6/13/2026,1,6/13/2026,7/2/2026,Fill,Primary,WA508,LOVES,123.3,,Y,Under,WA508,69.4,,,WA262,,N,Total Noncompliant Cost,LOVES,PILOT,1.345187770
220713,Line Haul,DHAHTE8-01,6/13/2026,1,6/13/2026,7/2/2026,Fill,Primary,WA508,LOVES,123.3,,Y,Under,WA508,69.4,,,WA262,,N,Location Noncompliant Cost,LOVES,PILOT,0
220713,Line Haul,DHAHTE8-01,6/13/2026,1,6/13/2026,7/2/2026,Fill,Primary,WA508,LOVES,123.3,,Y,Under,WA508,69.4,,,WA262,,N,Gallon Over/Under Cost,LOVES,PILOT,1.345187770
220713,Line Haul,DHAHTE8-01,6/13/2026,1,6/13/2026,7/2/2026,Fill,Primary,WA508,LOVES,123.3,,Y,Under,WA508,69.4,,,WA262,,N,Gallon Over/Under,LOVES,PILOT,53.87
220713,Line Haul,DHAHTE8-01,6/13/2026,1,6/13/2026,7/2/2026,Fill,Primary,WA508,LOVES,123.3,,Y,Under,WA508,69.4,,,WA262,,N,Fuel Rec Count,LOVES,PILOT,1
220713,Line Haul,DHAIBJJ-01,7/2/2026,1,7/3/2026,7/4/2026,Fill,Primary,WA262,PILOT,118.2,,Y,Under,WA262,62.2,,,OR715,,N,Total Noncompliant Cost,PILOT,PILOT,-25.67344072
220713,Line Haul,DHAIBJJ-01,7/2/2026,1,7/3/2026,7/4/2026,Fill,Primary,WA262,PILOT,118.2,,Y,Under,WA262,62.2,,,OR715,,N,Location Noncompliant Cost,PILOT,PILOT,0
220713,Line Haul,DHAIBJJ-01,7/2/2026,1,7/3/2026,7/4/2026,Fill,Primary,WA262,PILOT,118.2,,Y,Under,WA262,62.2,,,OR715,,N,Gallon Over/Under Cost,PILOT,PILOT,-25.67344072
220713,Line Haul,DHAIBJJ-01,7/2/2026,1,7/3/2026,7/4/2026,Fill,Primary,WA262,PILOT,118.2,,Y,Under,WA262,62.2,,,OR715,,N,Gallon Over/Under,PILOT,PILOT,55.96
